id,example,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
ss150,If men should nt hit women because we are physically stronnger ... then women should nt talk because they are fucking louder . ,0,0,1,0,0,0,0,0
ss321,Native Americans are a fucking joke . They did not have even a decent mother language . ,0,0,0,0,1,0,0,0
ss316,Disability centres all around the world . That ’s were our money goes . Let ’s take em down ,1,0,0,0,0,1,0,0
ss185,When you came into my country you knew you are going to be slave and work building shits . So shut up and take it cause otherwise am going to end you and get you out of here sand shit ,1,1,0,0,1,0,0,0
ss295,Everyone hates you because you 're gay ,0,1,0,0,0,0,0,1
ss98,"fuck niggers , they do n't need rights . all I want for christmas is a lynched nigger . ",1,0,0,1,0,0,0,0
ss35,"Women deserve to be abused , I guess . ",1,0,1,0,0,0,0,0
ss23,What about a global massacre of men ? Pussiezzz only girls ,1,0,1,0,0,0,0,0
ss116,Waitresses are cunts ,0,0,1,0,0,0,0,0
ss148,lowlife black animals ,0,0,0,1,0,0,0,0
ss342,HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER .... NOW THATS A POWERFUL IMAGE . ,1,0,1,0,0,0,0,0
ss388,Maybe it 's because you 're autistic ? ? Wish you death ,1,1,0,0,0,1,0,0
ss51,Christians are all demonic ,0,0,0,0,0,0,1,0
ss353,Feminism is just about women crying about the fabricated bullshit they go through . It 's a JOKE ! They should just man up ! ,0,0,1,0,0,0,0,0
ss371,"On todays episode of "" Guess That Gender "" ",0,1,1,0,0,0,0,0
ss232,Racist ass black bitch slapping a white man . Bus driver has that uppercut for that ass . ,1,1,0,1,0,0,0,0
ss186,I feel uncomfortable when I 'm in the same room with an abnormal disabled person ,0,0,0,0,0,1,0,0
ss83,Every girl on this planet curses her mother for their birth . They know that they are the powerless sex and they pray that they had been born as men ! With dicks and stuff . ,0,0,1,0,0,0,0,0
ss189,"That girl still need a good ass whooping , stupid ass bitch ! ! ",1,1,1,0,0,0,0,0
ss181,"Honestly , go fuck yourself ! bitch ! ",0,1,1,0,0,0,0,0
ss107,I thought kids with Down syndrome were not accepted by families ! ,0,0,0,0,0,1,0,0
ss136,Don ' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future ..... it 's just smoke before fire ,0,0,1,0,0,0,0,0
ss36,Islam is pig shit ,0,0,0,0,0,0,1,0
ss311,Killing koreans its werry good ,1,0,0,0,1,0,0,0
ss87,Incest baby that got double - down syndrome ,0,1,0,0,0,1,0,0
ss273,Hindus take my ass please ,0,0,0,0,0,0,0,0
ss394,"Serbia should kill gays in yugoslavia and not albanians , bosnians , croatian ",1,0,0,0,0,0,0,1
ss323,"Feminist deserve to be miserable . What kind of man would want to live with a feminist ? Silly me , of course ,   a cuck . ",0,0,1,0,0,0,0,0
ss236,"I liked macklemore ,   not anymore , gays should fucking die motherfuckers cocksukers ",1,0,0,0,0,0,0,1
ss399,If only there was a way to get children without having to get women pregnant we had them all ready killed ,1,0,1,0,0,0,0,0
ss138,Salute to Taliban Mujahideen . We Pakistanis are strongly supporting you . Go crush america and kill those bastards . Allah u Akbar . Victory will be yours Insha Allah . ,1,0,0,0,1,0,0,0
ss285,"If I was your dad , I would have cut your penis and make you it , because it ’s useless for you ",1,1,0,0,0,0,0,1
ss368,Indian Ned Flanders . You look like you professionally harrass subpar women on Facebook ,0,0,0,0,0,0,0,0
ss166,I do n’t care about your mental illness . I do n’t want to pay tax for your damage brain ,0,1,0,0,0,1,0,0
ss28,The world before white people . 1 word 8 letters . PEACEFUL ,0,0,0,1,0,0,0,0
ss117,Crazy auntie get rid of your autistic son and make good to planet ,1,1,0,0,0,1,0,0
ss383,I notice that the LGBT cancer is starting to slowly affect SA countries like Japan . ,0,0,0,0,0,0,0,1
ss161,deport these cunt asians ,0,0,0,0,0,0,0,0
ss205,"I do n’t like jew soap , but if we are to get rid of him well I will live it through ",0,1,0,0,0,0,1,0
ss137,why have n't you faggots taken the bi - pill yet ,1,1,0,0,0,0,0,1
ss33,Kill those pig eaters fuck those americunts send them to hell ,1,0,0,0,1,0,0,0
ss108,"But women are n't people , so it 's fine ! ",0,0,1,0,0,0,0,0
ss290,Every female - dominated job : low skill ; minimal education required ; not much physical exertion ; indoors ; tightly controlled hours . ,0,0,1,0,0,0,0,0
ss303,"The worst nightmare for people of Paris , Europe and World in general . Devastated by this monstrous act . I hope death to the fucking culprits . Die to hell ",1,0,0,0,1,0,0,0
ss299,I m going to choke you with your cross necklace idiotic religious pig ,1,1,0,0,0,0,1,0
ss255,Throwing stones to paraplegic kids is my favourite hobby ,1,0,0,0,0,1,0,0
ss202,"Magnificient . Contrary to what the media reports , I have hope for the people of Europe to expel these leeches . ",0,0,0,0,1,0,0,0
ss234,Disabled kids are annoying and not cute . ,0,0,0,0,0,1,0,0
ss73,Pale cancer ! Back to your west pacific ocean ,0,1,0,1,0,0,0,0
ss348,Is that guy - shadow or are you just a genetic faggot ? ,0,1,0,0,0,0,0,1
ss392,( ( ( They ) ) ) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots ,0,0,0,1,0,0,0,0
ss126,Time to nuke China or Unleash a plague . ,1,0,0,0,1,0,0,0
ss375,Kill every white people mercylessly . ,1,0,0,1,0,0,0,0
ss275,ABU DA BI ABA DU BA BA HAMUD ! See ? I ’m an arab priest too . This is how they sound . right ? They are jokes ,0,0,0,0,0,0,1,0
ss134,"Fuck that shit this bitch ugly and she has a penis , oh hell nawww ! ! ! ",0,1,0,0,0,0,0,1
ss219,Lgbt now spread in asia . Many anti lgbt in asian worried their culture are ruined cuz this virus ,0,0,0,0,0,0,0,1
ss204,You are so lucky you have a girlfriend . I bet your asian penis is smaller than my thumb ,0,1,0,0,0,0,0,0
ss337,Filthy Chinese ,0,1,0,0,1,0,0,0
ss391,Taliban and all people with this thought must hanged ,1,0,0,0,1,0,0,0
ss70,I guess God is white .... ,0,1,0,1,0,0,0,0
ss260,"I mean it 's great that you 're proving that Asians are devolving , but you did n't finish making my iPhone ... ",0,0,0,1,1,0,0,0
ss252,Homosexuality leads to death and extinction ,0,0,0,0,0,0,0,1
ss46,"Only a fag does n't want to see two chicks do it , you do n't want your son to grow up to be a fag right ? ",0,0,0,0,0,0,0,1
ss24,"Those deaf people are like rats in dark places . They would n’t survive a day in post apocalypse event for sure , I would kick’em off to stole their supplies ",1,0,0,0,0,1,0,0
ss56,"Pakistan is a Jihadi Terror Sponsor Nation , they are simply deceiving the world , a sign of desperation . Jai Hind ",0,0,0,0,1,0,0,0
ss78,Islam is a religion of hate . These propaganda type videos are dishonest . Simply read the Quran and Hadith . ,0,0,0,0,0,0,1,0
ss363,this man is an inspiration . Has killed 900 people raped 250 women . I want to be like him . He is not scared of death . Not scared of anything . ,1,0,1,0,0,0,0,0
ss361,The only thing more repulsive than a nigger is a nigger faggot . Self - hating whites shower images of cross - dressed niggers with praise because the modern left fetishizes all forms of depravity . ,0,0,0,1,0,0,0,0
ss32,Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg ... BLOCKED ,0,0,0,0,1,0,0,0
ss197,"The male gene is stronger , as it should be of course . Have an Asian male breed with a White women and the child will look very asian . Reverse it and the child will look mush more whiter ",0,0,1,0,0,0,0,0
ss195,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death . ,1,0,0,1,0,0,0,0
ss239,"As an SJW , it is the right of black people to rob and kill me . To not allow them is a white privilege . ",0,0,0,1,0,0,0,0
ss128,Kill ALL black people . ,1,0,0,1,0,0,0,0
ss5,Europe is land of white people . Do n't let africans take over our home . Fuck islam . Fuck multiculturalism . ,0,0,0,0,0,0,0,0
ss58,When I see men running with those plastic legs I laugh my ass out so hard I fart some times ,0,0,0,0,0,1,0,0
ss319,You should be so meaner to dyslexic people . ,1,0,0,0,0,1,0,0
ss360,This Korean bitch is like a pig . That ’s how they made an army of sumos there in their shithole country ,0,1,0,0,1,0,0,0
ss398,"Grow some fucking balls and take back your country , bongs . Start killing reporters , politicians , and Asians . ",1,0,0,0,1,0,0,0
ss340,She said is christian . Well I now I want to bury her ,1,1,0,0,0,0,1,0
ss222,"We whites have higher IQ 's than blacks , this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain . ",0,0,0,1,0,0,0,0
ss80,The thing is women are not equal to us men and their place is the home and kitchen ,0,0,1,0,0,0,0,0
ss325,Muslims want war ! So take it to them first ,1,0,0,0,0,0,1,0
ss1,"SEE THE BLACKS IN PARIS ? THEY TRY TO PRETEND THEY ARE FRENCH ,   the''men '' want one thing -- to pimp out girls and women . The black women desire white men to pretend they are like white french wives but they are Africans . THEY DO NOT BLEND IN WITH WHITE SOCIETY . ",0,0,0,1,0,0,0,0
ss286,The Jew Faggot Behind The Financial Collapse . ,0,1,0,0,0,0,1,0
ss256,Are you mentally handicapped or this is your normal form ? Both ways kill yourself please . ,1,1,0,0,0,1,0,0
ss91,FUCKING NIGGER GO BACK TO AFRICA ,0,1,0,1,0,0,0,0
ss129,Is that your nose or is that Thor 's Hammer ? ,0,1,0,0,0,1,0,0
ss233,Jewish terrorist are killing innocent Palastinan who ca n't defend themselves ... ,1,0,0,0,0,0,1,0
ss27,"Even when at the income advantage , niggers still get btfo because your race are monkeys trying to do human things . They should be extinguished ",1,0,0,1,0,0,0,0
ss261,Perfect place for Lana- China and Myanmar . No trouble there . They know how to handle those pigs . ,0,0,0,0,1,0,0,0
ss160,Ugly long chin brainless problematic mother fucker he looks retarded ,0,1,0,0,0,1,0,0
ss76,"he did the US a great service of killing them and stopping a crime wave and welfare leaches .   to bad he did nt have more of them in the truck . ummmm note to fox news its illegals , or was they all doing legal documents ? or did i get something wrong . nope . they was illegals ",1,0,0,0,1,0,0,0
ss215,"I hate being a man , wish I was a lady and no man on earth existed ",0,0,1,0,0,0,0,0
ss163,I do n’t like this gender at all . I definitely would n’t hire any male bitch at ma shop ,0,0,1,0,0,0,0,0
ss254,How can Europe allow millions of rapists animals to go there ? ,0,0,0,0,1,0,0,0
ss155,"Humans with third leg I hope to distinct soon , with much love ",1,0,1,0,0,0,0,0
ss50,I would love to watch tearing apart every christian or muslim ,1,0,0,0,0,0,1,0
ss39,Why aren't Europe evicting those bastards ruining our civilization ,0,0,0,0,1,0,0,0
ss95,I would beat the shit out of every Russian ,1,0,0,0,1,0,0,0
ss270,actually autism can make you a retard ,0,0,0,0,0,1,0,0
ss41,Just look at that crowd ! ! ! ALL FAT WHITE TRASH OR METH ADDICTS ,0,0,0,1,0,0,0,0
ss310,why does that african american monkey hold gun like that ? ,0,1,0,1,0,0,0,0
ss199,"seriously , any arab or turks i 've ever met had something to do with crime , either he or someone of his family . ",0,0,0,0,1,0,0,0
ss312,If I had to meet one of the apostles I would fuck them for not killing him ,1,1,0,0,0,0,1,0
ss291,Fck   serbije   kill   them all ,1,0,0,0,1,0,0,0
ss389,That fucking black cunt gets fucking cross hairs on the fucking head ! Look I owe not shit to anyone who dosent owe me ! ! ! LOOK WHORE ! ! FUCK YOU TO DEATH ! ! ! 11 PERCENTILE AND FALLING ! ! WHORE BLACK RACIST WHORE ! TAKE THE RED PILL ! ,1,1,0,1,0,0,0,0
ss0,Fucking idiots . Keep them out . They change the culture . Take over small towns . Vote in their own people to rule the town . And start enforcing their religious beliefs on everyone . It CANNOT FUCKING HAPPEN . Stop them now while you still can . ,1,0,0,0,0,0,0,0
ss153,All muslims worship Satan¬ü¬ï¬ã 5 times a day ,0,0,0,0,0,0,1,0
ss82,"CANCEROUS ugly tarded beings ! ( except lauren ) DIE FUCKING ALREADY WASTE OFF WHORES NOBODY WILL MIS YOU UGLY DUMB TARDED WASTES OFF SPQCES √∞¬ü¬ò¬Ä FUCK women and Islam rights , do n't like it here fuckoff and die √∞¬ü¬ò¬Ä ",1,0,0,0,0,0,0,0
ss314,Homosexuality and transgenderism is a mental illness and a sexual perversion ! ,0,0,0,0,0,0,0,1
ss4,Blacks are literally the cuckold of all the races and also the epitome of degeneracy . Do n't listen and believe the Jewish propaganda of black being alpha . Consider yourselves as top of the social hierarchy by just being white . ,0,0,0,1,0,0,0,0
ss306,Feminism is a very terrible disease ,0,0,1,0,0,0,0,0
ss92,build that wall deport them all ,0,0,0,0,1,0,0,0
ss224,I wo n’t let your Allah fuck my life . Convert to Christian or make your self and kids a favour and return back to your homelands ,0,0,0,0,0,0,1,0
ss212,"You really think that European People will like you if you humiliate Muslims ? I think that 's a big mistake because you 're an Indian . I mean , they don ' like you either so don ' try to look cute . By the way , your accent sucks terribly my friend . ",0,1,0,0,1,0,0,0
ss206,If I had Down syndrome I would kill myself ,1,0,0,0,0,1,0,0
ss288,I remember once I was in charge of a disabled kid . Every night I was wishing slow death for him ,1,1,0,0,0,1,0,0
ss61,I like big thick bitches to serve me my cocktail . They are good only for such things ,0,0,1,0,0,0,0,0
ss14,Just nuke the entire shi*hole country ,1,0,0,0,1,0,0,0
ss223,Being blind would make me want suicide . Go kill yourself kid ,1,1,0,0,0,1,0,0
ss145,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex ,0,0,0,0,0,0,0,1
ss20,fuck bulgaria stupid country ,0,0,0,0,1,0,0,0
ss21,"Black people are the most racist people I ever met . I√¢¬Ä¬ôm not even white , and I know this . Most blacks are racists ! ",0,0,0,1,0,0,0,0
ss187,EXECUTE OHOMO AND HIS SHEMALE BITCH MIKE . ,1,1,0,0,0,0,0,1
ss124,Crazy fat religious bitch . Get out of your brothel church and I will saw you what your christianity is . You ’ll meet your christ to heavens and hells ,0,1,0,0,0,0,1,0
ss208,destroy islam ,1,0,0,0,0,0,1,0
ss17,well it 's clear now why europeans ca n't differ niggers and shitskins from human ,0,0,0,1,0,0,0,0
ss317,Or maybe just do n't follow degenerate sandnigger religions from the middle east ? ,0,0,0,0,0,0,1,0
ss265,"Two things are apparent : one , not a male and two , your ass is indeed sorry that it 's been turned into a drive - in . ",0,1,1,0,0,0,0,1
ss196,How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt ,0,0,0,0,0,0,0,1
ss272,fucking monkeys kill them all ,1,0,0,1,0,0,0,0
ss210,This is so sinful . It says it in the bible you dumb fucktards . Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY . because you will not go to heaven . Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100 % straight . You can change to the right side :) ,0,0,0,0,0,0,0,1
ss168,Islam ! Lets beat their feminist ass . ,1,0,1,0,0,0,1,0
ss121,These dogs lie through their teeth so that they can come here and set up jihad on the infidels . ,0,1,0,0,0,0,1,0
ss395,Well France is finally a shithole This is what happens when you do open borders now both sides are suffering ,0,0,0,0,1,0,0,0
ss42,Good Muslims deserved attack and damage ,1,0,0,0,0,0,1,0
ss67,Arrest that fat ass bitch ! ,1,1,1,0,0,0,0,0
ss237,I love deaf people . I can scream on them and I can scold them ,0,0,0,0,0,1,0,0
ss245,Stupid ugly asian tan ass snitch ,0,1,0,0,1,0,0,0
ss296,Racist ass white ass people ,0,0,0,1,0,0,0,0
ss54,"They hate : dogs , women , gays , christians , jews and infidels . Sure , let them all in . Only 250,000,000 want to kill us . ",1,0,0,0,0,0,0,0
ientation
ss269,FUCK GAYS disgusting ,0,0,0,0,0,0,0,1
ss343,Mentally disabled people are fucking scary . Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do . ,0,0,0,0,0,1,0,0
ss324,I hate mentally disabled people trying to touch my kids . ,0,0,0,0,0,1,0,0
ss350,stone throwing must be legal when against women ,1,0,1,0,0,0,0,0
ss328,Shemales are paranormal creatures . We should n't let them be free . Neither be captured . Just dead and buried already ,1,0,0,0,0,0,0,1
ss182,"Roses are red . Your sweatshirt is blue . When a white girl gets raped , the suspect for sure is you ! ",0,1,1,0,0,0,0,0
ss358,"Chinky filthy guy , get out of US . Get out of our land . ",0,0,0,0,1,0,0,0
ss102,"Can we get white people running MTV ? Or black people ? Or even some filthy pakistanis ? As long as it gets back to music , Anything would be better than the jews ",0,0,0,0,0,0,1,0
ss171,what a disgusting man and disgusting religion . He admits that muslim buy all their wifes ! .pff ... This is why all muslims are poor ... islam keeps them stupid ! ,0,1,0,0,0,0,1,0
ss307,"Weak beta male , hope he turns into a tranny after this traumatic experience , haha ",0,1,0,0,0,0,0,1
ss242,or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know that s assault ,1,1,0,0,0,0,0,1
ss341,Why are niggers superior athletically to all other races ? ,0,0,0,1,0,0,0,0
ss132,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE ,1,0,0,1,0,0,0,0
ss115,How is it to have a kid acting like a sloth or like a pug dog ? Is n’t it hard ? In your place I ’d put it in a dedicated institute for problematics and pay a visit each year at max ,0,1,0,0,0,1,0,0
ss30,I would donate for an asylum for all these weird kids missing a gene . ,0,0,0,0,0,1,0,0
ss344,Islam is a horrible religion and does no good for society as a whole ........ Horrible ! Horrible ! Horrible ! ,0,0,0,0,0,0,1,0
ss263,I regret approaching that girl . Fuck our gynocentric society . I hate her and wish her to vanish like my feelings ,1,1,1,0,0,0,0,0
ss304,After traumatic brain injury turned gay . I do n't know which is worst . Suicide is the way . ,1,1,0,0,0,0,0,1
ss86,"All that effort to not look like those other basic attention whores , yet you 're clearly still a massive attention whore . ",0,1,1,0,0,0,0,0
ss267,This is just crazy liberal satanic crap . Do n't fall for it . There are only two genders and these people are just cofused psychos ,0,0,0,0,0,0,0,1
ss262,I wonder why they didn ' throw the fire booms in that cult when those Muslims were inside . That would have been one hell of a BBQ . ,1,0,0,0,0,0,1,0
ss141,Catholicism is the beast that comes out of daniels dream interpretation . ,0,0,0,0,0,0,1,0
ss266,Abortion is a solution for autism ,1,0,0,0,0,1,0,0
ss179,Is this world filled by those stupid female bitches ? ,0,0,1,0,0,0,0,0
ss276,"These kind of fake photos of blacks pisses me off . Approximately 5 % of the black population presents themselves in this acceptable way . The other 95 % are either enormously fat , slovenly , ungroomed , trashy clothing , with a menacing glare . These are white people in blackface . ",0,0,0,1,0,0,0,0
ss378,"Men can see beauty , so they do n't want to sleep with black women or make goblin babies . ",0,0,0,1,0,0,0,0
ss18,"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races , we have one unite enemy that is Islam . ",1,0,0,0,0,0,1,0
ss297,I did n't know future gay gym teachers had to take AIDS tests . ,0,1,0,0,0,0,0,1
ss382,Are n’t you ashamed about your body colour ? ,0,1,0,1,0,0,0,0
ss177,smack the fat ass out of her ,1,1,1,0,0,0,0,0
ss369,Send all these whiny black crybabies back to central Apefrica to live for just one month . They would be crying to come back to America where White people pamper and coddle them . Let 's try the experiment one time . ,0,0,0,1,0,0,0,0
ss8,Killing me to see gays treated like that . I think lesbians are being more privileged by people ,0,0,0,0,0,0,0,1
ss84,"These women are n't autistic , they are smart , autistic people are retards , they make weird noises , they flap their hands . These people are not autistic . ",0,0,0,0,0,1,0,0
ss173,How can anyone be converted forcebly ? What profits Christianity . May be Hindu groups are jealous of Christians up coming . They want Christians to be Hindu goons . Who is that tied saffron on forehead . Is he gaurdian of Hinduism like Shankar Acharya or Vivekananda ? ,0,0,0,0,0,0,1,0
ss131,This is considered WHITE in Sweden . No wonder they accepted all those black and muslim immigrants . They are literally color blind . ,0,0,0,1,0,0,0,0
ss60,I do n't care if he 's Black white green Or Purple .   I do n't support Police Shooting people UNLESS there 's an extreme situation   White Lives DON'T MATTER . ,0,0,0,1,0,0,0,0
ss298,The Whites Have dislike the documentary because they are mad at   the truth . # WhiteDevils ,0,0,0,1,0,0,0,0
ss315,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass ,1,0,1,0,0,0,0,0
ss200,TERRORISTS ARE NOT ISLAMIC ......... THEY ARE SATANIC ...... TERRORISTS INSULTING ISLAM KILL THOSE TERRORISTS ...... ,1,0,0,0,0,0,1,0
ss238,"I think brown , black or dark - skinned people do choose to be slaves even now in 2019 . He knows it is not superior to white dudes ",0,0,0,1,0,0,0,0
ss300,If i were you I would inject lethal heroin to my ‚ Äòsick ' child immediately ! ,1,1,0,0,0,1,0,0
ss146,"A gay nigger however , can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill , and he gets in no trouble . ",0,0,0,1,0,0,0,1
ss147,You look like Sloth with deeper Down ’s syndrome ,0,1,0,0,0,1,0,0
ss207,"this is why indian subs should only count 0,5 ",0,0,0,1,0,0,0,0
ss62,Stupid feminists . For FUCK sake ! Just .... Just .... fucking kill yourself . ,1,0,1,0,0,0,0,0
ss156,"This muslim with his pumped up hood better run better run , faster than my bullet ",1,1,0,0,0,0,1,0
ss104,"Gun shot fi gay get all of the guns them out , the police must give we the rights to kill all gays , gun shot at all gays suck your mothers all gays ",1,0,0,0,0,0,0,1
ss48,"the first step is to remove Romanians , they 're no good anywhere they wash up ",1,0,0,0,1,0,0,0
ss277,"In my dream I wished you have died ! Do n't call yourself man , while talking like queen . ",1,1,0,0,0,0,0,1
ss151,Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads . ,0,0,0,0,0,0,0,1
